species,genus,fam,div,genus.only,dead,unknown,n.fixer,tree,wood.density,SLA,seed.mass,max.height
Nuytsia floribunda,Nuytsia,Loranthaceae,Anthophyta,0,0,0,0,1,1,1,1,1
Nuytsia sp.,Nuytsia,Loranthaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Olearia argophylla,Olearia,Asteraceae,Anthophyta,0,0,0,0,1,0,1,1,1
Olearia axillaris,Olearia,Asteraceae,Anthophyta,0,0,0,0,0,1,1,1,1
Olearia lirata,Olearia,Asteraceae,Anthophyta,0,0,0,0,0,0,0,1,1
Olearia viscidula,Olearia,Asteraceae,Anthophyta,0,0,0,0,0,0,0,1,1
Opuntia sp.,Opuntia,Cataceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Owenia sp.,Owenia,Meliaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Ozothamnus ferrugineus,Ozothamnus,Asteraceae,Anthophyta,0,0,0,0,0,0,0,1,1
Paraserianthes toona,Paraserianthes,Fabaceae,Anthophyta,0,0,0,1,NA,1,0,0,0
Parsonsia straminea,Parsonsia,Apocynaceae,Anthophyta,0,0,0,0,NA,0,1,1,0
Persoonia elliptica,Persoonia,Proteaceae,Anthophyta,0,0,0,0,1,0,0,1,1
Persoonia longifolia,Persoonia,Proteaceae,Anthophyta,0,0,0,0,0,0,0,1,1
Phebalium sp.,Phebalium,Rutaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Pinus radiata,Pinus,Pinaceae,Pinophyta,0,0,0,0,1,1,1,1,1
Pinus sp.,Pinus,Pinaceae,Pinophyta,1,0,0,0,NA,NA,NA,NA,NA
Pittosporum angustifolium,Pittosporum,Pittosporaceae,Anthophyta,0,0,0,0,1,1,0,1,1
Pittosporum phillyreoides,Pittosporum,Pittosporaceae,Anthophyta,0,0,0,0,NA,0,1,1,1
Pittosporum sp.,Pittosporum,Pittosporaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Pomaderris aspera,Pomaderris,Rhamnaceae,Anthophyta,0,0,0,0,0,0,1,1,1
Pomaderris racemosa,Pomaderris,Rhamnaceae,Anthophyta,0,0,0,0,NA,0,0,1,0
Pomaderris sp.,Pomaderris,Rhamnaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Prostanthera lasianthos,Prostanthera,Lamiaceae,Anthophyta,0,0,0,0,0,0,1,1,1
Psydrax odorata,Psydrax,Rubiaceae,Anthophyta,0,0,0,0,1,1,1,JM,1
Rapanea sp.,Rapanea,Primulaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Rhagodia parabolica,Rhagodia,Chenopodiaceae,Anthophyta,0,0,0,0,0,0,0,1,1
Rhagodia sp.,Rhagodia,Chenopodiaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Santalum acuminatum,Santalum,Santalaceae,Anthophyta,0,0,0,0,0,1,1,1,1
Santalum sp.,Santalum,Santalaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Santalum spicatum,Santalum,Santalaceae,Anthophyta,0,0,0,0,1,1,0,1,1
Schinus sp.,Schinus,Anacardiaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Senna artemisioides,Senna,Fabaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Senna sp.,Senna,Fabaceae,Anthophyta,1,0,0,1,NA,NA,NA,NA,NA
Solanum aviculare,Solanum,Solanaceae,Anthophyta,0,0,0,0,0,JM,JM,1,1
Styphelia triflora,Styphelia,Ericaceae,Anthophyta,0,0,0,0,0,0,1,0,1
Syncarpia sp.,Syncarpia,Myrtaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Syzygium australe,Syzygium,Myrtaceae,Anthophyta,0,0,0,0,1,1,0,1,1
Syzygium tierneyanum,Syzygium,Myrtaceae,Anthophyta,0,0,0,0,NA,1,0,1,0
Tamarindus sp.,Tamarindus,Fabaceae,Anthophyta,1,0,0,1,NA,NA,NA,NA,NA
Templetonia sp.,Templetonia,Fabaceae,Anthophyta,1,0,0,1,NA,NA,NA,NA,NA
Terminalia microcarpa,Terminalia,Combretaceae,Anthophyta,0,0,0,0,NA,1,0,1,0
Toona ciliata,Toona,Meliaceae,Anthophyta,0,0,0,0,1,1,1,1,1
Trema tomentosa,Trema,Cannabaceae,Anthophyta,0,0,0,0,0,1,1,1,1
Ulex europaeus,Ulex,Fabaceae,Anthophyta,0,0,0,1,0,1,1,1,1
Unknown,Unknown,Unknown,Unknown,0,0,1,0,NA,NA,NA,NA,NA
Unknown shrub,Unknown,Unknown,Unknown,0,0,1,0,NA,NA,NA,NA,NA
Unknown tree,Unknown,Unknown,Unknown,0,0,1,0,NA,NA,NA,NA,NA
Unknown vine,Unknown,Unknown,Unknown,0,0,1,0,NA,NA,NA,NA,NA
Viminaria juncea,Viminaria,Fabaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Westringia eremicola,Westringia,Lamiaceae,Anthophyta,0,0,0,0,0,JM,JM,1,1
Xanthorrhoea preissii,Xanthorrhoea,Xanthorrhoeaceae,Anthophyta,0,0,0,0,0,0,1,1,1
Xanthorrhoea sp.,Xanthorrhoea,Xanthorrhoeaceae,Anthophyta,1,0,0,0,NA,NA,NA,NA,NA
Xylomelum angustifolium,Xylomelum,Proteaceae,Anthophyta,0,0,0,0,1,0,0,1,1
Xylomelum occidentale,Xylomelum,Proteaceae,Anthophyta,0,0,0,0,1,0,0,0,1
